id,title,category1,category2,category3,category4,category5,category6,category7
1,Aveda,health_beauty,,,,,,
2,ba&sh,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
3,Beyorg,health_beauty,,,,,,
4,Bizou American Brasserie,1western,4happy_hour,3bars,,,,
5,Chanel Beauté,health_beauty,,,,,,
6,Columbia,sports,,,,,,
7,COS,ladies_fashion,mens_fashion,,,,,
8,d2r,sports,,,,,,
9,Devialet,arts_gifts_home,entertainment,,,,,
10,Dim Sum Library,2chinese,4happy_hour,2hong_kong_style,3bars,,,
11,Ellermann Flower Boutique,arts_gifts_home,entertainment,,,,,
12,EMPHASIS,jewellery_watches_accessories,,,,,,
13,GigaSports,sports,,,,,,
14,Giorgio Armani,health_beauty,,,,,,
15,GLASSTIQUE,jewellery_watches_accessories,,,,,,
16,HON10,1asian,2japanese,,,,,
17,Jo Malone London,health_beauty,,,,,,
18,Joyce Beauty,health_beauty,,,,,,
19,Kurt Geiger,shoes_bag_leathergoods,,,,,,
20,La Mer,health_beauty,,,,,,
21,La Prairie,health_beauty,,,,,,
22,Lane Crawford Home,arts_gifts_home,books_music_electronics,entertainment,,,,
23,LensCrafters,jewellery_watches_accessories,,,,,,
24,LeSportsac,shoes_bag_leathergoods,,,,,,
25,L'Occitane En Provence,health_beauty,,,,,,
26,Lululemon,ladies_fashion,mens_fashion,sports,,,,
27,MAX&Co.,ladies_fashion,,,,,,
28,MUJI,ladies_fashion,shoes_bag_leathergoods,mens_fashion,,,,
29,Nakamura Tokichi,confectionary,cakes,,,,,
30,Natura Bissé,health_beauty,,,,,,
31,Phase Eight,ladies_fashion,,,,,,
32,Pure Yoga,health_beauty,sports,,,,,
33,PYE,mens_fashion,,,,,,
34,Repetto,ladies_fashion,shoes_bag_leathergoods,,,,,
35,Sandro,shoes_bag_leathergoods,,,,,,
36,Shake Shack,1western,,,,,,
37,Shanghai Tang,ladies_fashion,mens_fashion,arts_gifts_home,,,,
38,Starbucks Reserve,3cafe,outdoor_seating,,,,,
39,Ted Baker,ladies_fashion,,,,,,
40,The Kooples,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
41,The North Face Urban Exploration,sports,,,,,,
42,Theory,mens_fashion,ladies_fashion,,,,,
43,Tumi,shoes_bag_leathergoods,,,,,,
44,Vilebrequin,ladies_fashion,mens_fashion,,,,,
45,Whistles,ladies_fashion,,,,,,
46,YSL Beauté,health_beauty,,,,,,
47,Zara,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
48,HARVEY NICHOLS Beauty POP-UP,health_beauty,,,,,,
49,CHA LING L'Esprit du Thé,health_beauty,,,,,,
50,Starbucks Coffee,3cafe,cakes,,,,,
51,Alexandre de Paris,arts_gifts_home,jewellery_watches_accessories,,,,,
52,Apinara Thai Cuisine and Bar,1asian,4happy_hour,3bars,,,,
53,Bally,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
54,Balmain,ladies_fashion,mens_fashion,,,,,
55,Burberry,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
56,COVA,1western,2italian,3cafe,cakes,,,
57,Diane von Furstenberg,ladies_fashion,,,,,,
58,Dolce & Gabbana,ladies_fashion,mens_fashion,,,,,
59,drivepro,books_music_electronics,entertainment,,,,,
60,Emporio Armani,ladies_fashion,mens_fashion,,,,,
61,Fuel Espresso,3cafe,,,,,,
62,Harvey Nichols,arts_gifts_home,books_music_electronics,childrenswear_toys,jewellery_watches_accessories,ladies_fashion,mens_fashion,shoes_bag_leathergoods
63,Hogan,shoes_bag_leathergoods,,,,,,
